date,month,temperature_c,price_cents_per_kwh,is_holiday_peak,energy_mwh
2018-01-01,1,10.6,11.879,0,217.94
2018-02-01,2,14.83,11.945,0,233.38
2018-03-01,3,19.44,12.177,0,248.52
2018-04-01,4,21.83,12.109,0,256.32
2018-05-01,5,18.38,12.001,0,251.62
2018-06-01,6,14.72,12.177,0,240.06
2018-07-01,7,11.9,12.135,1,233.09
2018-08-01,8,5.92,12.285,0,207.37
2018-09-01,9,0.78,12.055,0,187.3
2018-10-01,10,0.65,12.131,0,191.93
2018-11-01,11,0.78,12.141,0,186.65
2018-12-01,12,4.44,12.0,1,223.99
2019-01-01,1,10.29,12.284,0,226.22
2019-02-01,2,12.7,12.299,0,233.54
2019-03-01,3,16.59,12.281,0,247.2
2019-04-01,4,19.33,12.265,0,262.99
2019-05-01,5,17.44,12.108,0,253.92
2019-06-01,6,15.38,12.277,0,247.83
2019-07-01,7,8.91,12.309,1,233.36
2019-08-01,8,3.31,12.26,0,202.98
2019-09-01,9,3.1,12.376,0,191.72
2019-10-01,10,-0.27,12.481,0,179.95
2019-11-01,11,1.42,12.723,0,191.23
2019-12-01,12,3.29,12.486,1,217.02
2020-01-01,1,9.35,12.519,0,227.08
2020-02-01,2,15.13,12.489,0,240.62
2020-03-01,3,17.28,12.232,0,259.5
2020-04-01,4,20.45,12.536,0,269.11
2020-05-01,5,17.94,12.569,0,255.94
2020-06-01,6,14.65,12.949,0,247.98
2020-07-01,7,9.28,12.571,1,236.53
2020-08-01,8,7.22,12.665,0,209.15
2020-09-01,9,1.32,12.635,0,199.14
2020-10-01,10,-1.27,12.485,0,193.33
2020-11-01,11,2.33,12.851,0,205.2
2020-12-01,12,3.53,12.813,1,222.98
2021-01-01,1,10.25,12.839,0,225.29
2021-02-01,2,12.65,12.604,0,242.4
2021-03-01,3,17.07,12.97,0,265.04
2021-04-01,4,20.24,12.57,0,274.14
2021-05-01,5,19.55,12.888,0,270.37
2021-06-01,6,15.21,13.149,0,272.11
2021-07-01,7,9.86,12.691,1,244.85
2021-08-01,8,4.64,12.775,0,220.61
2021-09-01,9,-0.43,12.895,0,203.55
2021-10-01,10,-0.86,12.824,0,199.04
2021-11-01,11,0.79,12.687,0,200.37
2021-12-01,12,6.27,12.95,1,231.12
2022-01-01,1,10.41,12.801,0,233.44
2022-02-01,2,12.88,13.051,0,250.77
2022-03-01,3,19.05,12.862,0,268.49
2022-04-01,4,19.54,13.252,0,274.98
2022-05-01,5,17.85,12.923,0,281.08
2022-06-01,6,15.73,13.012,0,249.38
2022-07-01,7,11.24,13.202,1,252.3
2022-08-01,8,6.12,12.915,0,214.22
2022-09-01,9,0.33,13.154,0,202.4
2022-10-01,10,-0.37,13.336,0,206.51
2022-11-01,11,1.74,12.919,0,208.59
2022-12-01,12,6.17,13.208,1,226.35
2023-01-01,1,9.42,13.239,0,236.4
2023-02-01,2,14.78,13.337,0,263.33
2023-03-01,3,17.33,13.054,0,268.82
2023-04-01,4,18.56,13.062,0,278.85
2023-05-01,5,19.64,13.358,0,277.41
2023-06-01,6,16.63,13.345,0,261.6
2023-07-01,7,9.91,13.358,1,261.88
2023-08-01,8,6.2,13.392,0,230.02
2023-09-01,9,1.77,13.258,0,201.94
2023-10-01,10,-0.77,13.415,0,206.01
2023-11-01,11,1.77,13.444,0,209.41
2023-12-01,12,6.85,13.313,1,241.93
2024-01-01,1,9.96,13.72,0,241.38
2024-02-01,2,16.88,13.531,0,267.78
2024-03-01,3,15.52,13.301,0,276.33
2024-04-01,4,20.99,13.598,0,290.83
2024-05-01,5,18.76,13.374,0,274.4
2024-06-01,6,14.64,13.658,0,264.16
2024-07-01,7,10.11,13.734,1,253.64
2024-08-01,8,2.61,13.457,0,221.87
2024-09-01,9,1.08,13.745,0,224.05
2024-10-01,10,0.43,13.682,0,213.85
2024-11-01,11,3.11,13.763,0,213.37
2024-12-01,12,4.38,13.945,1,242.11
