date,actual_mwh,forecast_mwh,model,split
2024-01-01,241.38,236.4,SeasonalNaive,test
2024-02-01,267.78,263.33,SeasonalNaive,test
2024-03-01,276.33,268.82,SeasonalNaive,test
2024-04-01,290.83,278.85,SeasonalNaive,test
2024-05-01,274.4,277.41,SeasonalNaive,test
2024-06-01,264.16,261.6,SeasonalNaive,test
2024-07-01,253.64,261.88,SeasonalNaive,test
2024-08-01,221.87,230.02,SeasonalNaive,test
2024-09-01,224.05,201.94,SeasonalNaive,test
2024-10-01,213.85,206.01,SeasonalNaive,test
2024-11-01,213.37,209.41,SeasonalNaive,test
2024-12-01,242.11,241.93,SeasonalNaive,test
2024-01-01,241.38,252.98688617860498,LinearRegression,test
2024-02-01,267.78,259.690011178605,LinearRegression,test
2024-03-01,276.33,275.252511178605,LinearRegression,test
2024-04-01,290.83,287.963448678605,LinearRegression,test
2024-05-01,274.4,282.065011178605,LinearRegression,test
2024-06-01,264.16,269.596261178605,LinearRegression,test
2024-07-01,253.64,264.502511178605,LinearRegression,test
2024-08-01,221.87,226.69001117860498,LinearRegression,test
2024-09-01,224.05,222.69001117860498,LinearRegression,test
2024-10-01,213.85,212.84626117860498,LinearRegression,test
2024-11-01,213.37,218.30719867860498,LinearRegression,test
2024-12-01,242.11,242.66657367860498,LinearRegression,test
2024-01-01,241.38,256.03680694749846,LSTM(MLP-fallback),test
2024-02-01,267.78,274.5480290016072,LSTM(MLP-fallback),test
2024-03-01,276.33,270.2153850436726,LSTM(MLP-fallback),test
2024-04-01,290.83,282.8181340579617,LSTM(MLP-fallback),test
2024-05-01,274.4,284.6028997295001,LSTM(MLP-fallback),test
2024-06-01,264.16,272.9122508924466,LSTM(MLP-fallback),test
2024-07-01,253.64,290.65254195945454,LSTM(MLP-fallback),test
2024-08-01,221.87,230.54932882877995,LSTM(MLP-fallback),test
2024-09-01,224.05,231.92932694574708,LSTM(MLP-fallback),test
2024-10-01,213.85,212.792379122872,LSTM(MLP-fallback),test
2024-11-01,213.37,215.77658177951653,LSTM(MLP-fallback),test
2024-12-01,242.11,257.14293723210386,LSTM(MLP-fallback),test
2025-01-01,,257.14293723210386,LSTM(MLP-fallback),future
2025-02-01,,275.8801621408659,LSTM(MLP-fallback),future
2025-03-01,,290.0384808029798,LSTM(MLP-fallback),future
2025-04-01,,294.7160581296575,LSTM(MLP-fallback),future
2025-05-01,,307.8062809385774,LSTM(MLP-fallback),future
2025-06-01,,306.7203642384448,LSTM(MLP-fallback),future
2025-07-01,,317.3304310858286,LSTM(MLP-fallback),future
2025-08-01,,348.0264328977942,LSTM(MLP-fallback),future
2025-09-01,,364.1100291383104,LSTM(MLP-fallback),future
2025-10-01,,364.7336229126543,LSTM(MLP-fallback),future
2025-11-01,,374.2827239186766,LSTM(MLP-fallback),future
2025-12-01,,391.02082644233514,LSTM(MLP-fallback),future
